LULC,"Latitude              (deg-decimal, N)","Longitude          (deg-decimal, E)",Moisture Reading,Elevation (in m above MSL),Sigma0_VH_db (19.01.2024),Sigma0_VV_db (19.01.2024),Sigma0_VH_db (31.01.2024),Sigma0_VV_db (31.01.2024),Sigma0_VH_db (12.02.2024),Sigma0_VV_db (12.02.2024),MPDI(31.1.24),RVI(31.1.24)
Mango Orchard,30.40788889,77.79341667,7.3,444.36,-13.96,-7.24,-14.5,-6.59,-14.94,-7.19,-0.37505927,2.75011854
Mango Orchard,30.40758895,77.79341675,6.6,444.36,-13.96,-7.24,-14.5,-6.59,-14.94,-7.19,-0.37505927,2.75011854
Mango Orchard,30.40748882,77.79341661,5.3,444.36,-13.96,-7.24,-14.5,-6.59,-14.94,-7.19,-0.37505927,2.75011854
Mango Orchard,30.40786898,77.79341659,8,444.36,-14.94,-6.15,-13.1,-8.05,-13.8,-7.64,-0.238770686,2.477541371
Mango Orchard,30.40748056,77.79308611,13.1,444.36,-14.94,-6.15,-13.1,-8.05,-13.8,-7.64,-0.238770686,2.477541371
Mango Orchard,30.40749048,77.79308607,12,444.36,-14.94,-6.15,-13.1,-8.05,-13.8,-7.64,-0.238770686,2.477541371
Mango Orchard,30.40648058,77.79308619,14.5,444.36,-14.94,-6.15,-13.1,-8.05,-13.8,-7.64,-0.238770686,2.477541371
Mango Orchard,30.40549053,77.79308622,10.6,444.36,-14.94,-6.15,-13.1,-8.05,-13.8,-7.64,-0.238770686,2.477541371
Mango Orchard,30.40733056,77.79386667,10.3,425.9,-14.99,-14.99,-14.99,-14.99,-14.99,-14.99,0,2
Mango Orchard,30.50733156,77.69396667,15.3,425.9,-14.99,-14.99,-14.99,-14.99,-14.99,-14.99,0,2
Mango Orchard,30.60733046,77.72386679,12.6,425.9,-14.99,-14.99,-14.99,-14.99,-14.99,-14.99,0,2
Mango Orchard,30.23733056,77.72386667,9.5,425.9,-14.99,-14.99,-14.99,-14.99,-14.99,-14.99,0,2
Ploughed field,30.47627778,77.80613333,35.3,451.89,-17.64,-10.51,-14.34,-7.03,-16.61,-5.71,-0.34206832,2.68413664
