Sl. No.,Site,Soil Sample No.,LULC,"Latitude              (deg, min, sec, N)","Latitude              (deg-decimal, N)","Longitude          (deg, min, sec, E)","Longitude          (deg-decimal, E)",Elevation (in m above MSL),Moisture Read 1 (% by Volume),Moisture Read 2 (% by Volume),Moisture Read 3   (% by Volume),Moisture Read 4  (% by Volume),Initial mass of soil sample with can (without can cover) (in g),Mass of soil sample with can (without can cover) after over drying at 105°C for 24 hr (in g),Amount of soil water (g),Gravimetric Soil Water Content [(mass of soil water/mass of dry soil)*100],Sigma0_VH_db (19.01.2024),Sigma0_VV_db (19.01.2024),Sigma0_VH_db (31.01.2024),Sigma0_VV_db (31.01.2024),Sigma0_VH_db (12.02.2024),Sigma0_VV_db (12.02.2024),Remarks
1,"Mango Orchard, Sahaspur Langha road",1,Mango Orchard,"30°24'28.40""",30.40788889,"77°47'36.30""",77.79341667,444.36,7.3,6.6,5.3,8,157,147,10,6.8,-13.96,-7.24,-14.5,-6.59,-14.94,-7.19,Mango Orchard beside road. Soil appearance roughly dry in top soil upto 10cm. Mango Tree height approximately 6 to 9 m.
2,"Mango Orchard, Sahaspur Langha road",2,Mango Orchard,"30°24'26.93""",30.40748056,"77°47'35.11""",77.79308611,444.36,13.1,12,14.5,10.6,180,155,25,16.13,-14.94,-6.15,-13.1,-8.05,-13.8,-7.64,Mid point of sample no. 1 and 2.
3,"Mango Orchard, Sahaspur Langha road",3,Mango Orchard,"30°24'26.39""",30.40733056,"77°47'37.92""",77.79386667,425.9,10.3,15.3,12.6,9.5,147,127,20,15.75,-14.99,-14.99,-14.99,-14.99,-14.99,-14.99,Two Trees from road inside.
4,Sahaspur Langha Bridge,,Bridge,"30°25'27.30""",30.42425,"77°47'28.70""",77.79130556,452.29,,,,,,,,,-13.92,-5.05,-18.29,-8.32,-18.24,-8.2,Dry river bed below bridge.
5,On roadways from Langha road towards Vikasnagar,4,Ploughed field,"30°28'34.60""",30.47627778,"77°48'22.08""",77.80613333,451.89,35.3,39.7,42.3,,222,159,63,39.62,-17.64,-10.51,-14.34,-7.03,-16.61,-5.71,Heavy ploughed field after harvest of sugarcane. Opposite to wheat field. High soil moisture.
6,On roadways from Langha road towards Vikasnagar,5,Wheat field,"30°28'33.29""",30.47591389,"77°48'23.01""",77.80639167,451.89,34.3,35.7,28.1,38.2,223,166,57,34.34,-15.63,-9.43,-16.64,-10.97,-15.74,-8.98,Wheat field beside road. Moist soil. Drizzling started. Wheat age roughly 1 month. Area ~6 acre.
7,"Near The Sapience School, Vikasnagar",6,Sugarcane field,"30°28'56.20""",30.48227778,"77°47'34.30""",77.79286111,450.9,26.1,25,33.2,,203,161,42,26.09,-16.64,-11.81,-14.2,-10.6,-17.5,-8.68,Sugarcane near harvest stage. Sugarcane field beside wheat field.
8,"Near The Sapience School, Vikasnagar",7,Sugarcane field,"30°28'56.50""",30.48236111,"77°47'33.09""",77.792525,450.9,17.5,16.7,15.8,,155,136,19,13.97,-15.45,-11.65,-16.76,-11.34,-16.3,-10.72,This sample taken from different part of the same field in which sample no. 6 was taken.
9,"Bridge over Canal, Vikasnagar",,Bridge,"30°28'23.40""",30.47316667,"77°44'23.20""",77.73977778,426.34,,,,,,,,,-17.79,-12.09,-20.9,-11.18,-16.97,-8.96,Solar panel installed parallel to canal upto half km.
10,Near Power Station Dhakrani,8,Mango Orchard,"30°27'22.34""",30.45620556,"77°44'23.54""",77.73987222,428.91,6.6,6.5,8.2,,160,146,14,9.59,-11.77,-8.08,-13.61,-7.44,-13.51,-7.04,Mid age orchard beside wheat field. Area ~2.5 acre.
