LULC,Elevation (in m above MSL),Sigma0_VV_db (31.01.2024),Sigma0_VH_db (31.01.2024),Used for Prediction,Predicted Moisture Reading,"Latitude              (deg-decimal, N)","Longitude          (deg-decimal, E)",Moisture Reading
Mango Orchard,425.9,-14.99,-14.99,TRUE,11.925,30.23733056,77.72386667,17
Sugarcane field,450.9,-11.81,-16.64,TRUE,16.66666667,30.32227778,77.62286111,21.6
Wheat field,557.98,-11.23,-17.85,TRUE,9.25,30.33353056,77.22293611,23
Rajma field,391.8,-10.96,-17.23,TRUE,15.93333333,30.34100556,77.59152222,18.5
Mango Orchard,428.91,-8.08,-11.77,TRUE,11.925,30.35620556,77.63987222,19.8
Berseem field,430.85,-13.07,-16.16,TRUE,37.23333333,30.36727778,77.65905556,6.5
Wheat field,381.3,-12.2,-17.28,TRUE,19.26666667,30.36974722,77.45143056,15.5
Wheat field,369.35,-7.77,-15.94,TRUE,18.93333333,30.36985,77.55276667,6.4
Wheat field,369.72,-10.05,-16.45,TRUE,16.06666667,30.37009167,77.45181944,12.8
Wheat field,371.65,-6.79,-15.97,TRUE,20.03333333,30.37023056,77.452925,28.1
Sugarcane field,450.9,-11.65,-15.45,TRUE,16.66666667,30.38236111,77.692525,42.3
Sugarcane field,450.9,-11.81,-16.64,TRUE,16.66666667,30.39227778,77.67286111,15
Wheat field,389.23,-12.38,-19.03,TRUE,19.26666667,30.39269444,77.49718056,20.3
Wheat field,451.89,-9.43,-15.63,TRUE,34.075,30.39591389,77.72639167,35.6
Mango Orchard,423.98,-7.6,-12.66,TRUE,4.733333333,30.39611389,77.68008611,15.5
Mango Orchard,444.36,-6.15,-14.94,TRUE,6.4,30.40549053,77.79308622,18.9
Mango Orchard,444.36,-6.15,-14.94,TRUE,6.4,30.40648058,77.79308619,8.9
Mango Orchard,425.9,-14.99,-14.99,TRUE,11.925,30.40733056,77.79386667,
Mango Orchard,444.36,-6.15,-14.94,TRUE,6.4,30.40748056,77.79308611,19.9
Mango Orchard,444.36,-7.24,-13.96,TRUE,6.4,30.40748882,77.79341661,19.4
Mango Orchard,444.36,-6.15,-14.94,TRUE,6.4,30.40749048,77.79308607,17.6
Mango Orchard,444.36,-7.24,-13.96,TRUE,6.4,30.40758895,77.79341675,15.8
Mango Orchard,444.36,-6.15,-14.94,TRUE,6.4,30.40786898,77.79341659,13.14
Mango Orchard,444.36,-7.24,-13.96,TRUE,6.4,30.40788889,77.79341667,10.69
